companyName,industryField,positionName,jobNature,createTime,financeStage,companyLabelList,companySize,city,district,positionType,education,positionAdvantage,Salary,salaryMax,salaryMin,salaryAvg,workYear
汽车之家,"移动互联网,文化娱乐",高级iOS研发工程师（3D图形引擎）,全职,2017-05-10 08:51:30,上市公司,"['技能培训', '节日礼物', '带薪年假', '绩效奖金']",2000人以上,北京,海淀区,开发/测试/运维类,本科,绩效奖金、年终奖、带薪年病假,20k-30k,30,20,25.0,5-10年
博赢环深,移动互联网,大数据开发工程师,全职,2017-05-10 08:51:26,成长型(A轮),"['技能培训', '股票期权', '专项奖金', '带薪年假']",15-50人,宁波,鄞州区,开发/测试/运维类,大专,"福利好,零食多,弹性工作",6k-12k,12,6,9.0,1-3年
CNICG,移动互联网,品牌策划总监,全职,2017-05-10 08:51:17,成长型(不需要融资),"['扁平管理', '定期体检', '五险一金']",50-150人,广州,南沙区,市场/商务/销售类,本科,"五险一金,节日福利,周末双休,带薪年假",13k-18k,18,13,15.5,5-10年
美矣云计算,"移动互联网,电子商务",客服,全职,2017-05-10 08:51:11,初创型(不需要融资),"['技术大牛', '项目奖金', '带薪年假', '绩效奖金']",15-50人,杭州,滨江区,运营/编辑/客服,大专,"事业前景好,团队氛围好,有单身帅哥",4k-5k,5,4,4.5,不限
玄武科技,"移动互联网,招聘",客服顾问,全职,2017-05-10 08:51:09,上市公司,"['绩效奖金', '年底双薪', '五险一金', '带薪年假']",500-2000人,广州,天河区,运营/编辑/客服,大专,"上市公司,发展前景好,氛围好,周末双休",3k-4k,4,3,3.5,1-3年
智慧星光,数据服务,自然语言处理工程师,全职,2017-05-10 08:51:02,成长型(不需要融资),"['五险一金', '岗位晋升', '带薪年假', '电话交通补贴']",150-500人,北京,海淀区,开发/测试/运维类,本科,"待遇优厚,晋升广,偏平管理,年底奖励",20k-40k,40,20,30.0,1-3年
广发信用卡中心,金融,市场规划分析主任,全职,2017-05-10 08:50:52,成熟型(不需要融资),"['技能培训', '年底双薪', '带薪年假', '绩效奖金']",2000人以上,广州,天河区,市场/商务/销售类,本科,福利待遇优厚 发展前景好 公司平台大,10k-15k,15,10,12.5,1-3年
苏美达集团,其他,软件开发工程师,全职,2017-05-10 08:50:48,上市公司,[],2000人以上,南京,玄武区,开发/测试/运维类,本科,"国有企业,上市公司,管理规范,企业文化",10k-20k,20,10,15.0,3-5年
卡拉卡尔,"数据服务,文化娱乐",音频分析工程师,全职,2017-05-10 08:50:42,成长型(不需要融资),"['技能培训', '节日礼物', '带薪年假', '绩效奖金']",150-500人,成都,高新区,开发/测试/运维类,大专,"五险一金,年终奖,弹性上班,季度福利假",10k-20k,20,10,15.0,1-3年
物银通,"金融,数据服务",品牌推广经理,全职,2017-05-10 08:50:38,成长型(B轮),"['年底双薪', '股票期权', '专项奖金', '绩效奖金']",50-150人,上海,徐汇区,市场/商务/销售类,本科,"氛围好,福利好,扁平化管理",15k-25k,25,15,20.0,3-5年
财略金融科技,金融,产品经理（IRA）,全职,2017-05-10 08:50:38,成长型(A轮),"['股票期权', '专项奖金', '带薪年假', '绩效奖金']",50-150人,广州,海珠区,产品/需求/项目类,不限,"双休,人性化管理,团队氛围好,发展空间大",8k-16k,16,8,12.0,1-3年
北京麦田,生活服务,渠道专员,全职,2017-05-10 08:50:28,成熟型(不需要融资),"['年底双薪', '节日礼物', '技能培训', '年度旅游']",2000人以上,北京,昌平区,市场/商务/销售类,大专,带薪培训,5k-8k,8,5,6.5,不限
信达集团,"O2O,电子商务",运营经理,全职,2017-05-10 08:50:15,成熟型(不需要融资),[],500-2000人,郑州,高新区,运营/编辑/客服,大专,"双休,六险一金,互联网集团,丰厚年终奖",6k-10k,10,6,8.0,3-5年
虎扑体育,"移动互联网,文化娱乐",销售经理,全职,2017-05-10 08:50:07,成熟型(D轮及以上),"['上班看球赛', '运动俱乐部', '大神分享会', '偶像零距离']",150-500人,北京,东城区,市场/商务/销售类,大专,互联网公司，职位发展空间广阔,6k-10k,10,6,8.0,不限
汇金智融,"移动互联网,电子商务",项目管理,全职,2017-05-10 08:51:45,上市公司,"['年底双薪', '绩效奖金', '带薪年假', '弹性工作']",150-500人,深圳,南山区,开发/测试/运维类,本科,"五险一金,年终奖,绩效奖金,加班费",13k-17k,17,13,15.0,5-10年
汽车之家,"移动互联网,文化娱乐",非车高级客户经理,全职,2017-05-10 08:51:30,上市公司,"['技能培训', '节日礼物', '带薪年假', '绩效奖金']",2000人以上,北京,海淀区,市场/商务/销售类,本科,绩效奖金、带薪年病假、团建假等,10k-18k,18,10,14.0,5-10年
博赢环深,移动互联网,大数据架构师,全职,2017-05-10 08:51:26,成长型(A轮),"['技能培训', '股票期权', '专项奖金', '带薪年假']",15-50人,宁波,鄞州区,开发/测试/运维类,大专,"福利好,零食多,弹性工作",8k-15k,15,8,11.5,1-3年
CNICG,移动互联网,食品安全管理员,全职,2017-05-10 08:51:17,成长型(不需要融资),"['扁平管理', '定期体检', '五险一金']",50-150人,广州,南沙区,其他,大专,"五险一金,节日福利,带薪年假,绩效奖金",5k-8k,8,5,6.5,1-3年
美矣云计算,"移动互联网,电子商务",销售经理,全职,2017-05-10 08:51:11,初创型(不需要融资),"['技术大牛', '项目奖金', '带薪年假', '绩效奖金']",15-50人,杭州,滨江区,市场/商务/销售类,不限,"蓝海产业,行业领先,销售提成,工作弹性",15k-25k,25,15,20.0,5-10年
玄武科技,"移动互联网,招聘",客服专员,全职,2017-05-10 08:51:09,上市公司,"['绩效奖金', '年底双薪', '五险一金', '带薪年假']",500-2000人,广州,天河区,运营/编辑/客服,大专,"上市公司,交通便利,氛围好,不用轮班",4k-5k,5,4,4.5,1-3年
广发信用卡中心,金融,联盟事业主任,全职,2017-05-10 08:50:51,成熟型(不需要融资),"['技能培训', '年底双薪', '带薪年假', '绩效奖金']",2000人以上,广州,天河区,市场/商务/销售类,本科,五险一金，周末双休，带薪年假，提供食堂,10k-15k,15,10,12.5,3-5年
智慧星光,数据服务,系统构建工程师,全职,2017-05-10 08:50:44,成长型(不需要融资),"['五险一金', '岗位晋升', '带薪年假', '电话交通补贴']",150-500人,北京,海淀区,开发/测试/运维类,本科,"五险一金,晋升空间",15k-25k,25,15,20.0,3-5年
卡拉卡尔,"数据服务,文化娱乐",内容编辑/运营（韩/德/法语/荷兰/意大利等）,全职,2017-05-10 08:50:42,成长型(不需要融资),"['技能培训', '节日礼物', '带薪年假', '绩效奖金']",150-500人,成都,高新区,运营/编辑/客服,不限,"五险一金,弹性上班,季度福利假,年终奖",3k-5k,5,3,4.0,1-3年
财略金融科技,金融,考拉-高级APP运营,全职,2017-05-10 08:50:38,成长型(A轮),"['股票期权', '专项奖金', '带薪年假', '绩效奖金']",50-150人,广州,海珠区,运营/编辑/客服,不限,"双休,发展空间,人性化管理,股票期权",8k-14k,14,8,11.0,5-10年
物银通,"金融,数据服务",风控副总监,全职,2017-05-10 08:50:36,成长型(B轮),"['年底双薪', '股票期权', '专项奖金', '绩效奖金']",50-150人,上海,徐汇区,金融类,本科,"氛围好,福利好,扁平化管理",15k-25k,25,15,20.0,5-10年
北京麦田,生活服务,营销储备干部,全职,2017-05-10 08:50:27,成熟型(不需要融资),"['年底双薪', '节日礼物', '技能培训', '年度旅游']",2000人以上,北京,朝阳区,运营/编辑/客服,大专,带薪培训 季度晋升 空间透明,5k-8k,8,5,6.5,不限
信达集团,"O2O,电子商务",测试开发工程师,全职,2017-05-10 08:50:14,成熟型(不需要融资),[],500-2000人,郑州,高新区,开发/测试/运维类,大专,"六险一金,双休,互联网集团,晋升空间大",6k-10k,10,6,8.0,5-10年
虎扑体育,"移动互联网,文化娱乐",户外直播运营主管,全职,2017-05-10 08:50:07,成熟型(D轮及以上),"['上班看球赛', '运动俱乐部', '大神分享会', '偶像零距离']",150-500人,上海,虹口区,运营/编辑/客服,大专,新平台，新机遇,7k-12k,12,7,9.5,不限
上海南棠实业有限公司,电子商务,eBay运营经理,全职,2017-05-10 08:50:03,成长型(不需要融资),[],150-500人,上海,None,运营/编辑/客服,不限,"带团队,带新人,管店铺,拼业绩",7k-14k,14,7,10.5,1-3年
博赢环深,移动互联网,市场经理,全职,2017-05-10 08:51:26,成长型(A轮),"['技能培训', '股票期权', '专项奖金', '带薪年假']",15-50人,宁波,鄞州区,市场/商务/销售类,大专,"福利好,颜值高,零食多,弹性工作",4k-8k,8,4,6.0,1-3年
CNICG,移动互联网,产品经理（扫码兽）,全职,2017-05-10 08:51:17,成长型(不需要融资),"['扁平管理', '定期体检', '五险一金']",50-150人,广州,南沙区,产品/需求/项目类,本科,"六险一金,年终奖金,节日福利",10k-16k,16,10,13.0,5-10年
美矣云计算,"移动互联网,电子商务",媒体公关（PR）,全职,2017-05-10 08:51:11,初创型(不需要融资),"['技术大牛', '项目奖金', '带薪年假', '绩效奖金']",15-50人,杭州,滨江区,市场/商务/销售类,大专,"蓝海产业,行业领先者,团队协作好,boss好",8k-15k,15,8,11.5,3-5年
玄武科技,"移动互联网,招聘",客服主管,全职,2017-05-10 08:51:08,上市公司,"['绩效奖金', '年底双薪', '五险一金', '带薪年假']",500-2000人,广州,天河区,运营/编辑/客服,大专,"无轮班,内部客服,团队管理,上市公司",6k-10k,10,6,8.0,3-5年
汇金智融,"移动互联网,电子商务",项目经理,全职,2017-05-10 08:50:51,上市公司,"['年底双薪', '绩效奖金', '带薪年假', '弹性工作']",150-500人,深圳,None,产品/需求/项目类,本科,"上市公司,五险一金,团队建设,发展空间大",10k-18k,18,10,14.0,5-10年
智慧星光,数据服务,舆情分析工程师,全职,2017-05-10 08:50:43,成长型(不需要融资),"['五险一金', '岗位晋升', '带薪年假', '电话交通补贴']",150-500人,北京,海淀区,开发/测试/运维类,本科,"全勤奖,五险一金,带薪年假,交通补贴",5k-8k,8,5,6.5,1-3年
卡拉卡尔,"数据服务,文化娱乐",内容编辑/运营,全职,2017-05-10 08:50:42,成长型(不需要融资),"['技能培训', '节日礼物', '带薪年假', '绩效奖金']",150-500人,成都,高新区,运营/编辑/客服,大专,"五险一金,弹性福利假,季度福利假,年终奖",3k-5k,5,3,4.0,1-3年
财略金融科技,金融,考拉-产品运营,全职,2017-05-10 08:50:38,成长型(A轮),"['股票期权', '专项奖金', '带薪年假', '绩效奖金']",50-150人,广州,海珠区,产品/需求/项目类,本科,"双休,人性化管理,发展空间,股票期权",6k-12k,12,6,9.0,1-3年
物银通,"金融,数据服务",金融产品经理,全职,2017-05-10 08:50:35,成长型(B轮),"['年底双薪', '股票期权', '专项奖金', '绩效奖金']",50-150人,上海,徐汇区,产品/需求/项目类,本科,"氛围好,福利好,扁平化管理",15k-25k,25,15,20.0,3-5年
北京麦田,生活服务,市场运营专员,全职,2017-05-10 08:50:26,成熟型(不需要融资),"['年底双薪', '节日礼物', '技能培训', '年度旅游']",2000人以上,北京,东城区,市场/商务/销售类,大专,季度晋升,5k-8k,8,5,6.5,不限
虎扑体育,"移动互联网,文化娱乐",销售经理,全职,2017-05-10 08:50:07,成熟型(D轮及以上),"['上班看球赛', '运动俱乐部', '大神分享会', '偶像零距离']",150-500人,上海,虹口区,市场/商务/销售类,大专,行业发展空间巨大,10k-20k,20,10,15.0,不限
成都千帆科技,"移动互联网,硬件",C#/.NET 软件开发工程师,全职,2017-05-10 08:49:58,初创型(未融资),[],50-150人,成都,高新区,开发/测试/运维类,大专,"周末双休,社保公积金,不定期旅游",5k-10k,10,5,7.5,应届毕业生
